name,original_name,cell,x_um,y_um,width_um,height_um,orient,row
Xr0_a9_inv,Xr0_a9_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,70.00000000000001,7.84,2.24,3.92,FS,bottom_ctrl_1
Xr0_grp0_inv,Xr0_grp0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,70.56,11.76,2.24,3.92,N,bottom_ctrl_2
Xr0_grp1_inv,Xr0_grp1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,70.56,15.68,2.24,3.92,FS,bottom_ctrl_3
Xr0_grp2_inv,Xr0_grp2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,70.56,19.6,2.24,3.92,N,bottom_ctrl_4
Xr0_grp3_inv,Xr0_grp3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,70.56,23.52,2.24,3.92,FS,bottom_ctrl_5
Xr0_grp4_inv,Xr0_grp4_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,70.56,27.439999999999998,2.24,3.92,N,bottom_ctrl_6
Xr0_grp5_inv,Xr0_grp5_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,70.56,31.36,2.24,3.92,FS,bottom_ctrl_7
Xr0_grp6_inv,Xr0_grp6_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,70.56,598.4399999999999,2.24,3.92,N,top_ctrl_0
Xr0_grp7_inv,Xr0_grp7_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,70.56,606.28,2.24,3.92,N,top_ctrl_2
Xr0_pd0_0_inv,Xr0_pd0_0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,70.56,610.1999999999999,2.24,3.92,FS,top_ctrl_3
Xr0_pd0_1_inv,Xr0_pd0_1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,71.12,602.3599999999999,2.24,3.92,FS,top_ctrl_1
Xr0_pd0_2_inv,Xr0_pd0_2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,72.24000000000001,3.92,2.24,3.92,N,bottom_ctrl_0
Xr0_pd0_3_inv,Xr0_pd0_3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,72.24000000000001,7.84,2.24,3.92,FS,bottom_ctrl_1
Xr0_pd1_0_inv,Xr0_pd1_0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,72.8,11.76,2.24,3.92,N,bottom_ctrl_2
Xr0_pd1_1_inv,Xr0_pd1_1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,72.8,15.68,2.24,3.92,FS,bottom_ctrl_3
Xr0_pd1_2_inv,Xr0_pd1_2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,72.8,19.6,2.24,3.92,N,bottom_ctrl_4
Xr0_pd1_3_inv,Xr0_pd1_3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,72.8,23.52,2.24,3.92,FS,bottom_ctrl_5
Xr0_pd2_0_inv,Xr0_pd2_0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,72.8,27.439999999999998,2.24,3.92,N,bottom_ctrl_6
Xr0_pd2_1_inv,Xr0_pd2_1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,72.8,31.36,2.24,3.92,FS,bottom_ctrl_7
Xr0_pd2_2_inv,Xr0_pd2_2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,72.8,598.4399999999999,2.24,3.92,N,top_ctrl_0
Xr0_pd2_3_inv,Xr0_pd2_3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,72.8,606.28,2.24,3.92,N,top_ctrl_2
Xr0_pd2_4_inv,Xr0_pd2_4_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,72.8,610.1999999999999,2.24,3.92,FS,top_ctrl_3
Xr0_pd2_5_inv,Xr0_pd2_5_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,73.36,602.3599999999999,2.24,3.92,FS,top_ctrl_1
Xr0_pd2_6_inv,Xr0_pd2_6_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,74.48,3.92,2.24,3.92,N,bottom_ctrl_0
Xr0_pd2_7_inv,Xr0_pd2_7_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,74.48,7.84,2.24,3.92,FS,bottom_ctrl_1
Xr1_a0_inv,Xr1_a0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,75.03999999999999,11.76,2.24,3.92,N,bottom_ctrl_2
