name,cell,block,port,bit,phase,row_index,x_um,y_um,width_um,height_um,orient,gds
Xr1_bit18_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,18,0,0,810.375,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit20_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,20,0,0,836.48,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit22_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,22,0,0,862.58,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit24_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,24,0,0,888.685,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit26_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,26,0,0,914.79,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit28_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,28,0,0,940.895,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit30_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,30,0,0,966.995,2.0,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit01_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,1,1,1,588.495,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit03_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,3,1,1,614.595,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit05_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,5,1,1,640.7,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit07_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,7,1,1,666.805,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit09_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,9,1,1,692.91,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit11_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,11,1,1,719.01,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
Xr1_bit13_precharge_sense,detronyx_12t_precharge_sense_rc1,precharge_sense,r1,13,1,1,745.115,28.455,18.71,24.455,N,reports/periphery_block_leaves/detronyx_12t_precharge_sense_rc1/layout/detronyx_12t_precharge_sense_rc1.gds
