net,endpoints,track_x_um,has_macro_pin,has_row_select_sink,shapes
w1_pd2_13_n,2,183.79,false,false,15
w1_pd2_14,17,184.47,false,true,120
w1_pd2_14_n,2,184.47,false,false,15
w1_pd2_15,17,185.15,false,true,120
w1_pd2_15_n,2,185.15,false,false,15
w1_pd2_1_n,2,185.83,false,false,15
w1_pd2_2,17,58.88,false,true,120
w1_pd2_2_n,2,186.51,false,false,15
w1_pd2_3,17,59.08,false,true,120
w1_pd2_3_n,2,187.19,false,false,15
w1_pd2_4,17,187.87,false,true,120
w1_pd2_4_n,2,187.87,false,false,15
w1_pd2_5,17,188.55,false,true,120
w1_pd2_5_n,2,188.55,false,false,15
w1_pd2_6,17,189.23,false,true,120
w1_pd2_6_n,2,189.23,false,false,15
w1_pd2_7,17,189.91,false,true,120
w1_pd2_7_n,2,189.91,false,false,15
w1_pd2_8,17,190.59,false,true,120
w1_pd2_8_n,2,190.59,false,false,15
w1_pd2_9,17,191.27,false,true,120
w1_pd2_9_n,2,191.27,false,false,15
write_conflict_n,2,191.95,false,false,15
