name,original_name,role,cell,port,row_index,x_um,y_um,width_um,height_um,orient
Xw0_row0035_sel_buf1,Xw0_row0035_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,35,26.64,191.645,2.24,3.92,N
Xw0_row0035_sel_buf2,Xw0_row0035_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,35,28.88,191.645,2.24,3.92,N
Xw0_row0036_sel_nand4,Xw0_row0036_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,36,16.56,195.97,7.84,3.92,N
Xw0_row0036_sel_buf0,Xw0_row0036_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,36,24.4,195.97,2.24,3.92,N
Xw0_row0036_sel_buf1,Xw0_row0036_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,36,26.64,195.97,2.24,3.92,N
Xw0_row0036_sel_buf2,Xw0_row0036_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,36,28.88,195.97,2.24,3.92,N
Xw0_row0037_sel_nand4,Xw0_row0037_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,37,16.56,200.3,7.84,3.92,N
Xw0_row0037_sel_buf0,Xw0_row0037_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,37,24.4,200.3,2.24,3.92,N
Xw0_row0037_sel_buf1,Xw0_row0037_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,37,26.64,200.3,2.24,3.92,N
Xw0_row0037_sel_buf2,Xw0_row0037_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,37,28.88,200.3,2.24,3.92,N
Xw0_row0038_sel_nand4,Xw0_row0038_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,38,16.56,204.625,7.84,3.92,N
Xw0_row0038_sel_buf0,Xw0_row0038_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,38,24.4,204.625,2.24,3.92,N
Xw0_row0038_sel_buf1,Xw0_row0038_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,38,26.64,204.625,2.24,3.92,N
Xw0_row0038_sel_buf2,Xw0_row0038_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,38,28.88,204.625,2.24,3.92,N
Xw0_row0039_sel_nand4,Xw0_row0039_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,39,16.56,208.95,7.84,3.92,N
Xw0_row0039_sel_buf0,Xw0_row0039_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,39,24.4,208.95,2.24,3.92,N
Xw0_row0039_sel_buf1,Xw0_row0039_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,39,26.64,208.95,2.24,3.92,N
Xw0_row0039_sel_buf2,Xw0_row0039_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,39,28.88,208.95,2.24,3.92,N
Xw0_row0040_sel_nand4,Xw0_row0040_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,40,16.56,213.28,7.84,3.92,N
Xw0_row0040_sel_buf0,Xw0_row0040_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,40,24.4,213.28,2.24,3.92,N
Xw0_row0040_sel_buf1,Xw0_row0040_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,40,26.64,213.28,2.24,3.92,N
Xw0_row0040_sel_buf2,Xw0_row0040_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,40,28.88,213.28,2.24,3.92,N
Xw0_row0041_sel_nand4,Xw0_row0041_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,41,16.56,217.605,7.84,3.92,N
Xw0_row0041_sel_buf0,Xw0_row0041_sel,buf0,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,41,24.4,217.605,2.24,3.92,N
Xw0_row0041_sel_buf1,Xw0_row0041_sel,buf1,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,41,26.64,217.605,2.24,3.92,N
Xw0_row0041_sel_buf2,Xw0_row0041_sel,buf2,gf180mcu_as_sc_mcu7t3v3__inv_2,w0,41,28.88,217.605,2.24,3.92,N
Xw0_row0042_sel_nand4,Xw0_row0042_sel,nand4,gf180mcu_as_sc_mcu7t3v3__nand4_2,w0,42,16.56,221.93,7.84,3.92,N
